Name,iso_code,genus,family
Pilagá,plg,South Guaicuruan,Guaicuruan
Qafar,aar,Lowland East Cushitic,Afro-Asiatic
Ndebele (in South Africa),nbl,Bantoid,Niger-Congo
Ngad'a,nxg,Central Malayo-Polynesian,Austronesian
Olo,ong,Wapei-Palei,Torricelli
Sebei,kpz,Nilotic,Eastern Sudanic
Acholi,ach,Nilotic,Eastern Sudanic
Andoke,ano,Andoke,Andoke
Chimariko,cid,Chimariko,Hokan
Sesotho,sot,Bantoid,Niger-Congo
Sio,xsi,Oceanic,Austronesian
Tarahumara (Western),tac,Tarahumaran,Uto-Aztecan
Ticuna,tca,Ticuna,Ticuna
Burunge,bds,Southern Cushitic,Afro-Asiatic
Chinantec (Comaltepec),cco,Chinantecan,Oto-Manguean
Chitimacha,ctm,Chitimacha,Chitimacha
Kombai,tyn,Awju-Dumut,Trans-New Guinea
Kombai,wng,Awju-Dumut,Trans-New Guinea
Loniu,los,Oceanic,Austronesian
Mende,men,Western Mande,Mande
Kosraean,kos,Oceanic,Austronesian
Nuuchahnulth,noo,Southern Wakashan,Wakashan
Ossetic,oss,Iranian,Indo-European
Bashkir,bak,Turkic,Altaic
Malakmalak,mpb,Northern Daly,Northern Daly
Mansi,mns,Ugric,Uralic
Chuvash,chv,Turkic,Altaic
Dutch,nld,Germanic,Indo-European
Comanche,com,Numic,Uto-Aztecan
Ngiyambaa,wyb,Southeastern Pama-Nyungan,Pama-Nyungan
Burmese,mya,Burmese-Lolo,Sino-Tibetan
Krongo,kgo,Kadugli,Kadu
Wagawaga,wkw,Southeastern Pama-Nyungan,Pama-Nyungan
Wangkangurru,wgg,Central Pama-Nyungan,Pama-Nyungan
Wanman,wbt,Western Pama-Nyungan,Pama-Nyungan
Warumungu,wrm,Western Pama-Nyungan,Pama-Nyungan
Au,avt,Wapei-Palei,Torricelli
Aka-Cari,aci,Great Andamanese,Great Andamanese
Aka-Kede,akx,Great Andamanese,Great Andamanese
Alsatian,gsw,Germanic,Indo-European
Andi,ani,Avar-Andic-Tsezic,Nakh-Daghestanian
Arabic (Bahrain),abv,Semitic,Afro-Asiatic
Arabic (Borno Nigerian),shu,Semitic,Afro-Asiatic
Arakanese (Marma),rmz,Burmese-Lolo,Sino-Tibetan
Arandai,jbj,South Bird's Head Proper,South Bird's Head
Armenian (Iranian),hye,Armenian,Indo-European
Arrernte,aer,Central Pama-Nyungan,Pama-Nyungan
Arrernte,are,Central Pama-Nyungan,Pama-Nyungan
Asturian,ast,Romance,Indo-European
Aulua,aul,Oceanic,Austronesian
Auyana,auy,Eastern Highlands,Trans-New Guinea
Avatime,avn,Kwa,Niger-Congo
Aynu,aib,Turkic,Altaic
Badaga,bfq,Southern Dravidian,Dravidian
Bagri,bgq,Indic,Indo-European
Bamun,bax,Bantoid,Niger-Congo
Bana,bcw,Biu-Mandara,Afro-Asiatic
Bandi,bza,Western Mande,Mande
Baragaunle,loy,Bodic,Sino-Tibetan
Bathari,bhm,Semitic,Afro-Asiatic
Berber (Wargla),oua,Berber,Afro-Asiatic
Biafada,bif,Biafada,Niger-Congo
Biatah,bth,Land Dayak,Austronesian
Bosnian,bos,Slavic,Indo-European
Bru (Eastern),bru,Katuic,Austro-Asiatic
Buli (in Ghana),bwu,Northern-Central Gur,Niger-Congo
Bura-Pabir,bwr,Biu-Mandara,Afro-Asiatic
Chatino (Nopala),cya,Zapotecan,Oto-Manguean
Cheke Holo,mrn,Oceanic,Austronesian
Chinantec (Sochiapan),cso,Chinantecan,Oto-Manguean
Chippewa (Red Lake and Pillager),ciw,Algonquian,Algic
Chulym,clw,Turkic,Altaic
Columbia-Wenatchi,col,Interior Salish,Salishan
Dhuwal (Dätiwuy),duj,Western Pama-Nyungan,Pama-Nyungan
Dogri,dgo,Indic,Indo-European
Dogri,xnr,Indic,Indo-European
Dolgan,dlg,Turkic,Altaic
Dutch (Brabantic),nld,Germanic,Indo-European
Dutch (Limburg),nld,Germanic,Indo-European
Dutch (Zeeuws),zea,Germanic,Indo-European
Elseng,mrf,Morwap,Morwap
Etsako,ets,Edoid,Niger-Congo
Fijian (Wayan),wyy,Oceanic,Austronesian
Frisian (Eastern),frs,Germanic,Indo-European
Frisian (North),frr,Germanic,Indo-European
Ful (Liptako),fuh,Peul-Serer,Niger-Congo
Fula (Burkina Faso),fuh,Peul-Serer,Niger-Congo
Fulfulde (Maasina),ffm,Peul-Serer,Niger-Congo
