Name,iso_code,genus,family
Tutchone (Northern),ttm,Athapaskan,Na-Dene
Tzeltal,tzh,Mayan,Mayan
Tzeltal (Tenejapa),tzh,Mayan,Mayan
Ugandan Sign Language,ugn,Sign Languages,other
Urim,uri,Urim,Torricelli
Vedda,ved,Indic,Indo-European
Vlaamse Gebarentaal,vgt,Sign Languages,other
Xârâcùù,ane,Oceanic,Austronesian
Yaka,yaf,Bantoid,Niger-Congo
Yaruro,yae,Yaruro,Yaruro
Yemsa,jnj,North Omotic,Afro-Asiatic
Yiddish,ydd,Germanic,Indo-European
Yiddish,yih,Germanic,Indo-European
Yorta Yorta,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Yuruti,yui,Tucanoan,Tucanoan
Zapotec (Juárez),zaa,Zapotecan,Oto-Manguean
Zapotec (Mixtepec),zpm,Zapotecan,Oto-Manguean
Zapotec (Zoogocho),zpq,Zapotecan,Oto-Manguean
Zoque (Francisco León),zos,Mixe-Zoque,Mixe-Zoque
Allentiac,NA,Huarpe,Huarpe
Altai (Southern),alt,Turkic,Altaic
Alutor,alr,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan
Anufo,cko,Kwa,Niger-Congo
Apache (Jicarilla),apj,Athapaskan,Na-Dene
Arabic (Bani-Hassan),mey,Semitic,Afro-Asiatic
Arabic (Hijazi),acw,Semitic,Afro-Asiatic
Arabic (Kormakiti),acy,Semitic,Afro-Asiatic
Arabic (North Levantine Spoken),apc,Semitic,Afro-Asiatic
Araki,akr,Oceanic,Austronesian
Arapaho,arp,Algonquian,Algic
Baale,koe,Surmic,Eastern Sudanic
Bakundu,bdu,Bantoid,Niger-Congo
Banggarla,bjb,Central Pama-Nyungan,Pama-Nyungan
Benga,bng,Bantoid,Niger-Congo
Bima,bhp,Central Malayo-Polynesian,Austronesian
Boiken,bzf,Ndu,Sepik
Dení,dny,Arauan,Arauan
Deutsche Gebärdensprache,gsg,Sign Languages,other
Ding,diz,Bantoid,Niger-Congo
Eipo,eip,Mek,Trans-New Guinea
Frisian (Western),fry,Germanic,Indo-European
Fula (Guinean),fuf,Peul-Serer,Niger-Congo
Gade,ged,Nupoid,Niger-Congo
Galician,glg,Romance,Indo-European
Garus,gyb,Madang,Trans-New Guinea
Gojri,gju,Indic,Indo-European
Greenlandic (East),kal,Eskimo,Eskimo-Aleut
Guanano,gvc,Tucanoan,Tucanoan
Guduf,gdf,Biu-Mandara,Afro-Asiatic
Gunya,gyy,Northern Pama-Nyungan,Pama-Nyungan
Halang,hal,Bahnaric,Austro-Asiatic
Haruai,tmd,Piawi,Piawi
Iñupiaq,esi,Eskimo,Eskimo-Aleut
Irish (Munster),gle,Celtic,Indo-European
Isirawa,srl,Kwerba,Kwerba
Jamamadi,jaa,Arauan,Arauan
Kaiwá,kgk,Tupi-Guaraní,Tupian
Kela (Apoze),kcl,Oceanic,Austronesian
Kirikiri,kiy,Lakes Plain,Lakes Plain
Ko (Winye),kst,Southern-Central Gur,Niger-Congo
Konda,kfc,South-Central Dravidian,Dravidian
Konua,kyx,West Bougainville,West Bougainville
Kott,NA,Yeniseian,Yeniseian
Lamu-Lamu,lby,Northern Pama-Nyungan,Pama-Nyungan
Luyia,luy,Bantoid,Niger-Congo
Marquesan,mqm,Oceanic,Austronesian
Marquesan,mrq,Oceanic,Austronesian
Mayo,mfy,Cahita,Uto-Aztecan
Mehek,nux,Tama Sepik,Sepik
Melayu Betawi,bew,Creoles and Pidgins,other
Migama,mmy,East Chadic,Afro-Asiatic
Mixtec (Ayutla),miy,Mixtecan,Oto-Manguean
Liv,liv,Finnic,Uralic
Mixtec (Jamiltepec),mxt,Mixtecan,Oto-Manguean
Mokilko,moz,East Chadic,Afro-Asiatic
Murik,mtf,Lower Sepik,Lower Sepik-Ramu
Nahuatl (Sierra de Zacapoaxtla),azz,Aztecan,Uto-Aztecan
Neo-Aramaic (Assyrian),aii,Semitic,Afro-Asiatic
Ngbandi,nbw,Ubangi,Niger-Congo
Ngbandi,ngb,Ubangi,Niger-Congo
Nharo,nhr,Khoe-Kwadi,Khoe-Kwadi
Nubi,kcn,Creoles and Pidgins,other
Nyelâyu,yly,Oceanic,Austronesian
Orejón,ore,Tucanoan,Tucanoan
Oto,iow,Core Siouan,Siouan
Otomí (Sierra),otm,Otomian,Oto-Manguean
Otoro,otr,Heiban,Kordofanian
Pagu,pgu,North Halmaheran,West Papuan
Polabian,pox,Slavic,Indo-European
Pulopetak,nij,Barito,Austronesian
Quechua (Tarma),qvn,Quechuan,Quechuan
Rejang,rej,Rejang,Austronesian
Romani (North Russian),rml,Indic,Indo-European
Romansch,roh,Romance,Indo-European
Romansch (Surmeiran),roh,Romance,Indo-European
Russian-Chinese Pidgin (Birobidjan),NA,Creoles and Pidgins,other
Salish (Samish Straits),str,Central Salish,Salishan
Yawa,yva,Yawa,Yawa
Nomatsiguenga,not,Pre-Andine Arawakan,Arawakan
Nyanga,nyj,Bantoid,Niger-Congo
Tamabo,mla,Oceanic,Austronesian
Tehit,kps,West Bird's Head,West Papuan
Tewa (Arizona),tew,Kiowa-Tanoan,Kiowa-Tanoan
Thaypan,typ,Northern Pama-Nyungan,Pama-Nyungan
Timorese,aoz,Central Malayo-Polynesian,Austronesian
Wallisian,wls,Oceanic,Austronesian
Wayana,way,Cariban,Cariban
Xerénte,xer,Ge-Kaingang,Macro-Ge
!Xun (Ekoka),knw,Ju-Kung,Kxa
Yakoma,yky,Ubangi,Niger-Congo
Yil,yll,Wapei-Palei,Torricelli
Yuki,yuk,Yukian,Wappo-Yukian
Yupik (Naukan),ynk,Eskimo,Eskimo-Aleut
Yupik (Sirenik),ysr,Eskimo,Eskimo-Aleut
Júma,jua,Tupi-Guaraní,Tupian
Abidji,abi,Kwa,Niger-Congo
Ampeeli,apz,Angan,Trans-New Guinea
Angolar,aoa,Creoles and Pidgins,other
Apache (Chiricahua),apm,Athapaskan,Na-Dene
Arabic (Beirut),apc,Semitic,Afro-Asiatic
Arabic (Eastern Libyan),ayl,Semitic,Afro-Asiatic
Arabic (Negev),ajp,Semitic,Afro-Asiatic
Arabic (San'ani),ayn,Semitic,Afro-Asiatic
Arikara,ari,Caddoan,Caddoan
Awadhi,awa,Indic,Indo-European
Aekyom,awi,Awin-Pare,Awin-Pare
Bahinemo,bjh,Sepik Hill,Sepik
Banawá,jaa,Arauan,Arauan
Basque (Basaburua and Imoz),eus,Basque,Basque
Basque (Bidasoa Valley),eus,Basque,Basque
Basque (Gernica),eus,Basque,Basque
Basque (Hondarribia),eus,Basque,Basque
Basque (Lekeitio),eus,Basque,Basque
Basque (Northern High Navarrese),eus,Basque,Basque
Basque (Oñati),eus,Basque,Basque
Basque (Roncalese),eus,Basque,Basque
Basque (Sakana),eus,Basque,Basque
Basque (Souletin),eus,Basque,Basque
Basque (Zeberio),eus,Basque,Basque
Bhili,bhb,Indic,Indo-European
Binumarien,bjr,Eastern Highlands,Trans-New Guinea
Buglere,sab,Guaymiic,Chibchan
Burum,bmu,Finisterre-Huon,Trans-New Guinea
Carijona,cbd,Cariban,Cariban
Carrier,crx,Athapaskan,Na-Dene
Chortí,caa,Mayan,Mayan
Chumburung,ncu,Kwa,Niger-Congo
Terêna,ter,Bolivia-Parana,Arawakan
Cupeño,cup,California Uto-Aztecan,Uto-Aztecan
Dabida,dav,Bantoid,Niger-Congo
Dhurga,dhu,Southeastern Pama-Nyungan,Pama-Nyungan
Doutai,tds,Lakes Plain,Lakes Plain
Dyimini,dyi,Senufo,Niger-Congo
Enga,enq,Engan,Trans-New Guinea
Esselen,esq,Esselen,Esselen
Fula (Mauritanian),fuc,Peul-Serer,Niger-Congo
Gaalpu,dhg,Western Pama-Nyungan,Pama-Nyungan
Gorowa,gow,Southern Cushitic,Afro-Asiatic
Gunu,yas,Bantoid,Niger-Congo
Haida (Northern),hdn,Haida,Haida
Halbi,hlb,Indic,Indo-European
Hoava,hoa,Oceanic,Austronesian
Min (Southern),nan,Chinese,Sino-Tibetan
Iatmul,ian,Ndu,Sepik
Inuktitut (Quebec-Labrador),ike,Eskimo,Eskimo-Aleut
Inuktitut (Salluit),ike,Eskimo,Eskimo-Aleut
Isekiri,its,Defoid,Niger-Congo
Jarawara,jaa,Arauan,Arauan
Kalapuya,kyl,Kalapuyan,Kalapuyan
Kamano-Kafe,kbq,Eastern Highlands,Trans-New Guinea
Kami,kcu,Bantoid,Niger-Congo
Kara (in Papua New Guinea),leu,Oceanic,Austronesian
Karaim,kdr,Turkic,Altaic
Karata,kpt,Avar-Andic-Tsezic,Nakh-Daghestanian
Kasem,xsm,Southern-Central Gur,Niger-Congo
Kaure,bpp,Kaure,Kaure
Kemtuik,kmt,Nimboran,Nimboran
Ketengban,xte,Mek,Trans-New Guinea
Kitsai,kii,Caddoan,Caddoan
Kokni,kex,Indic,Indo-European
Konkomba,xon,Northern-Central Gur,Niger-Congo
Koranko,knk,Western Mande,Mande
Kposo,kpo,Kwa,Niger-Congo
Ladino,lad,Romance,Indo-European
Lafofa,laf,Lafofa,Kordofanian
Lule,NA,Lule,Lule
Mampruli,maw,Northern-Central Gur,Niger-Congo
Manem,jet,Border,Border
Mantjiltjara,mpj,Western Pama-Nyungan,Pama-Nyungan
Maring,mbw,Chimbu,Trans-New Guinea
Martu Wangka,mpj,Western Pama-Nyungan,Pama-Nyungan
Mawchi,mke,Indic,Indo-European
Mayi-Yapi,NA,Northern Pama-Nyungan,Pama-Nyungan
Mbugu,mhd,Southern Cushitic,Afro-Asiatic
Mentuh Tapuh,sdo,Land Dayak,Austronesian
Menya,mcr,Angan,Trans-New Guinea
Mündü,muh,Ubangi,Niger-Congo
Nafaanra,nfr,Senufo,Niger-Congo
Ngombe,ngc,Bantoid,Niger-Congo
Nigerian Pidgin,pcm,Creoles and Pidgins,other
Ningil,niz,Wapei-Palei,Torricelli
Samo,smq,East Strickland,East Strickland
Nukuoro,nkr,Oceanic,Austronesian
Nyambo,now,Bantoid,Niger-Congo
Obokuitai,afz,Lakes Plain,Lakes Plain
Ojibwe (Minnesota),ciw,Algonquian,Algic
Oloh Mangtangai,nij,Barito,Austronesian
Patpatar,gfk,Oceanic,Austronesian
Pemon,aoc,Cariban,Cariban
Folopa,ppo,Teberan,Teberan-Pawaian
Pokomchí,poh,Mayan,Mayan
Quechua (Ecuadorean),qug,Quechuan,Quechuan
Riantana,ran,Kolopom,Kolopom
Romani (Ajia Varvara),rmn,Indic,Indo-European
Rundi,run,Bantoid,Niger-Congo
Salar,slr,Turkic,Altaic
Selaru,slu,Central Malayo-Polynesian,Austronesian
Seychelles Creole,crs,Creoles and Pidgins,other
Shinassha,bwo,North Omotic,Afro-Asiatic
Sikaritai,tty,Lakes Plain,Lakes Plain
Stoney,sto,Core Siouan,Siouan
Svan,sva,Kartvelian,Kartvelian
Tabaru,tby,North Halmaheran,West Papuan
Tanna (Southwest),nwi,Oceanic,Austronesian
Tarangan (West),txn,Central Malayo-Polynesian,Austronesian
Ternate,tft,North Halmaheran,West Papuan
Tibetan (Shigatse),bod,Bodic,Sino-Tibetan
Tifal,tif,Ok,Trans-New Guinea
Tillamook,til,Tillamook,Salishan
Unami,unm,Algonquian,Algic
Vasavi,vas,Indic,Indo-European
Warluwara,wrb,Western Pama-Nyungan,Pama-Nyungan
Waropen,wrp,South Halmahera - West New Guinea,Austronesian
Weri,wer,Goilalan,Trans-New Guinea
Wetan,lex,Central Malayo-Polynesian,Austronesian
Wobe,wob,Kru,Niger-Congo
Wogamusin,wog,Upper Sepik,Sepik
Woiwurrung,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Yakan,yka,Sama-Bajaw,Austronesian
Yukpa,yup,Cariban,Cariban
Yulparija,mpj,Western Pama-Nyungan,Pama-Nyungan
Yup'ik (Chevak),esu,Eskimo,Eskimo-Aleut
Yup'ik (Norton Sound),esu,Eskimo,Eskimo-Aleut
Yupik (St. Lawrence Island),ess,Eskimo,Eskimo-Aleut
Zapotec (Texmelucan),zpz,Zapotecan,Oto-Manguean
Zimakani,zik,Marind,Anim
Aguaruna,agr,Jivaroan,Jivaroan
Anong,nun,Nungish,Sino-Tibetan
Berbice Dutch Creole,brc,Creoles and Pidgins,other
Bezhta,kap,Avar-Andic-Tsezic,Nakh-Daghestanian
Bokar,adi,Tani,Sino-Tibetan
Budukh,bdk,Lezgic,Nakh-Daghestanian
Cayuga,cay,Northern Iroquoian,Iroquoian
Chavacano,cbk,Creoles and Pidgins,other
Chol,cti,Mayan,Mayan
Chol,ctu,Mayan,Mayan
Culina,cul,Arauan,Arauan
Dari,prs,Iranian,Indo-European
Dobel,kvo,Central Malayo-Polynesian,Austronesian
Duna,duc,Duna,Trans-New Guinea
Ekoti,eko,Bantoid,Niger-Congo
Gutob,gbj,Munda,Austro-Asiatic
Gogodala,ggw,Gogodala,Gogodala-Suki
Hawaiian Creole,hwc,Creoles and Pidgins,other
Herero,her,Bantoid,Niger-Congo
Ifumu,ifm,Bantoid,Niger-Congo
Inga,inb,Quechuan,Quechuan
Kanjobal (Western),knj,Mayan,Mayan
Kanum (Ngkâlmpw),kcd,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers
Kerek,krk,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan
Kisar,kje,Central Malayo-Polynesian,Austronesian
Kola,kvv,Central Malayo-Polynesian,Austronesian
Kriol (Fitzroy Crossing),NA,Creoles and Pidgins,other
Kriol (Ngukurr),rop,Creoles and Pidgins,other
Kui (in Indonesia),kvd,Greater Alor,Timor-Alor-Pantar
Kunjen,kjn,Northern Pama-Nyungan,Pama-Nyungan
Kunming,cmn,Chinese,Sino-Tibetan
Kwamera,tnk,Oceanic,Austronesian
Lonwolwol,crc,Oceanic,Austronesian
Loven,lbo,Bahnaric,Austro-Asiatic
Malacca Creole,mcm,Creoles and Pidgins,other
Manx,glv,Celtic,Indo-European
Pa'a,pqa,West Chadic,Afro-Asiatic
Waurá,wau,Central Arawakan,Arawakan
Sisaala,sld,Southern-Central Gur,Niger-Congo
Yazva,kpv,Permic,Uralic
Mochica,NA,Chimúan,Chimúan
Mopan,mop,Mayan,Mayan
Ngarinyeri,nay,Southeastern Pama-Nyungan,Pama-Nyungan
Nyangumarda,nna,Western Pama-Nyungan,Pama-Nyungan
Okanagan,oka,Interior Salish,Salishan
Olutec,plo,Mixe-Zoque,Mixe-Zoque
Oroch,oac,Tungusic,Altaic
Paita,duf,Oceanic,Austronesian
Palor,fap,Cangin,Niger-Congo
Parji (Dravidian),pci,Central Dravidian,Dravidian
Puquina,NA,Puquina,Puquina
Rimi,rim,Bantoid,Niger-Congo
Sawai,szw,South Halmahera - West New Guinea,Austronesian
Serrano,ser,California Uto-Aztecan,Uto-Aztecan
Shira Yughur,yuy,Mongolic,Altaic
Sukuma,suk,Bantoid,Niger-Congo
Sulung,suv,Sulung,Sulung
Sursurunga,sgz,Oceanic,Austronesian
Tanglapui,swt,Kolana-Tanglapui,Timor-Alor-Pantar
Tasmanian,NA,Tasmanian,Tasmanian
Tetela,tll,Bantoid,Niger-Congo
Tsonga,tso,Bantoid,Niger-Congo
Tswana,tsn,Bantoid,Niger-Congo
Tupuri,tui,Mbumic,Niger-Congo
Tyeraity,woa,Northern Daly,Northern Daly
Upper Kuskokwim,kuu,Athapaskan,Na-Dene
Yali,yli,Dani,Trans-New Guinea
Yamdena,jmd,Central Malayo-Polynesian,Austronesian
Yansi,yns,Bantoid,Niger-Congo
Yazgulyam,yah,Iranian,Indo-European
Zapotec (Quiegolani),zpi,Zapotecan,Oto-Manguean
Aghul,agx,Lezgic,Nakh-Daghestanian
Alutiiq,ems,Eskimo,Eskimo-Aleut
Arabic (Palestinian),ajp,Semitic,Afro-Asiatic
Aribwatsa,laz,Oceanic,Austronesian
Asuriní,asu,Tupi-Guaraní,Tupian
Atacameño,kuz,Kunza,Kunza
Bandjalang (Waalubal),bdy,Southeastern Pama-Nyungan,Pama-Nyungan
Bena-Lulua,lua,Bantoid,Niger-Congo
Berber (Ayt Seghrouchen Middle Atlas),tzm,Berber,Afro-Asiatic
Biak,bhw,South Halmahera - West New Guinea,Austronesian
Binga,yul,Bongo-Bagirmi,Central Sudanic
Bora,boa,Boran,Huitotoan
Bozo (Tigemaxo),boz,Western Mande,Mande
Chorote,crq,Matacoan,Matacoan
Chorote,crt,Matacoan,Matacoan
Cua,cua,Bahnaric,Austro-Asiatic
Dakota,dak,Core Siouan,Siouan
Embera Chami,cmi,Choco,Choco
Fiote,kng,Bantoid,Niger-Congo
Fox,sac,Algonquian,Algic
Gurenne,gur,Northern-Central Gur,Niger-Congo
Hawrami,hac,Iranian,Indo-European
Hdi,xed,Biu-Mandara,Afro-Asiatic
Hmong Daw,mww,Hmong-Mien,Hmong-Mien
Iha,ihp,West Bomberai,West Bomberai
Jarawa (in Andamans),anq,South Andamanese,South Andamanese
Karelian,krl,Finnic,Uralic
Kashaya,kju,Pomoan,Hokan
Koh (Lakka),xuo,Mbumic,Niger-Congo
Kumyk,kum,Turkic,Altaic
Mambwe,mgr,Bantoid,Niger-Congo
Mazanderani,mzn,Iranian,Indo-European
Miriwung,mep,Jarrakan,Jarrakan
Monumbo,mxk,Monumbo,Monumbo
Mordvin (Moksha),mdf,Mordvin,Uralic
Nahuatl (Mecayapan Isthmus),nhx,Aztecan,Uto-Aztecan
Nivkh (South Sakhalin),niv,Nivkh,Nivkh
Nyiha,nih,Bantoid,Niger-Congo
Occitan,oci,Romance,Indo-European
Pokot,pko,Nilotic,Eastern Sudanic
Padoe,pdo,Celebic,Austronesian
Baniwa,bwi,Inland Northern Maipuran,Arawakan
Ojibwa (Severn),ojs,Algonquian,Algic
Papiamentu,pap,Creoles and Pidgins,other
Pileni,piv,Oceanic,Austronesian
Pintupi,piu,Western Pama-Nyungan,Pama-Nyungan
Pogoro,poy,Bantoid,Niger-Congo
Popoloca (Metzontla),pbe,Popolocan,Oto-Manguean
Quechan,yum,Yuman,Hokan
Sorbian (Upper),hsb,Slavic,Indo-European
Spokane,spo,Interior Salish,Salishan
Tangga,hrc,Oceanic,Austronesian
Thadou,tcz,Kuki-Chin,Sino-Tibetan
Tsogo,tsv,Bantoid,Niger-Congo
Tuamotuan,pmt,Oceanic,Austronesian
Yaygir,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Zenaga,zen,Berber,Afro-Asiatic
Abaza,abq,Northwest Caucasian,Northwest Caucasian
Amarakaeri,amr,Harakmbet,Harakmbet
Amis,ami,East Formosan,Austronesian
Arabic (Tunisian),aeb,Semitic,Afro-Asiatic
Atchin,upv,Oceanic,Austronesian
Awyi,auw,Border,Border
Baga Sitemu,bsp,Mel,Niger-Congo
Berber (Siwa),siz,Berber,Afro-Asiatic
Boko,bqc,Eastern Mande,Mande
Broken,tcs,Creoles and Pidgins,other
Bubi,bvb,Bantoid,Niger-Congo
Cheyenne,chy,Algonquian,Algic
Chiriguano,gui,Tupi-Guaraní,Tupian
Creek,mus,Muskogean,Muskogean
Doko,ngc,Bantoid,Niger-Congo
Fordata,frd,Central Malayo-Polynesian,Austronesian
Gagauz,gag,Turkic,Altaic
Gilaki,glk,Iranian,Indo-European
Jad,bod,Bodic,Sino-Tibetan
Karitiâna,ktn,Arikem,Tupian
Kickapoo,kic,Algonquian,Algic
Kusunda,kgg,Kusunda,Kusunda
Kwami,ksq,West Chadic,Afro-Asiatic
Lengua,enx,Mascoian,Mascoian
Lozi,loz,Bantoid,Niger-Congo
Magahi,mag,Indic,Indo-European
Makaa,mcp,Bantoid,Niger-Congo
Marchha,rnp,Bodic,Sino-Tibetan
Mari (Hill),mrj,Mari,Uralic
Midob,mei,Nubian,Eastern Sudanic
Miisiirii,tma,Taman,Eastern Sudanic
Miwok (Central Sierra),csm,Miwok,Penutian
Miwok (Northern Sierra),nsq,Miwok,Penutian
Mixtec (Atatlahuca),mib,Mixtecan,Oto-Manguean
Mpongwe,mye,Bantoid,Niger-Congo
Nande,nnb,Bantoid,Niger-Congo
Nkem,isi,Bantoid,Niger-Congo
Pomo (Central),poo,Pomoan,Hokan
Quechua (Ayacucho),quy,Quechuan,Quechuan
Quiché,quc,Mayan,Mayan
Rembarnga,rmb,Rembarnga,Gunwinyguan
Secoya,sey,Tucanoan,Tucanoan
Skou,skv,Western Skou,Skou
Tabare,sst,Chimbu,Trans-New Guinea
Tamagario,tcg,Kayagar,Kayagar
Tangale,tan,West Chadic,Afro-Asiatic
Tem,kdh,Southern-Central Gur,Niger-Congo
Toqabaqita,mlu,Oceanic,Austronesian
Tübatulabal,tub,California Uto-Aztecan,Uto-Aztecan
Tuki,bag,Bantoid,Niger-Congo
Tumleo,tmq,Oceanic,Austronesian
Tunebo,tnd,Tunebo,Chibchan
Ulithian,uli,Oceanic,Austronesian
Vagla,vag,Southern-Central Gur,Niger-Congo
Walmatjari,wmt,Western Pama-Nyungan,Pama-Nyungan
Wik Ngathana,wig,Northern Pama-Nyungan,Pama-Nyungan
Winnebago,win,Core Siouan,Siouan
Yankuntjatjara,kdd,Western Pama-Nyungan,Pama-Nyungan
Zapotec (San Lucas Quiaviní),zab,Zapotecan,Oto-Manguean
Abau,aau,Upper Sepik,Sepik
Buin,buo,East Bougainville,East Bougainville
Chaga,old,Bantoid,Niger-Congo
Chambri,can,Lower Sepik,Lower Sepik-Ramu
Chaudangsi,cdn,Bodic,Sino-Tibetan
Chocho,coz,Popolocan,Oto-Manguean
Cuica,NA,Timote-Cuica,Timote-Cuica
Duma,dma,Bantoid,Niger-Congo
Futuna (East),fud,Oceanic,Austronesian
Foe,foi,Kutubuan,Trans-New Guinea
Haitian Creole,hat,Creoles and Pidgins,other
Jurchen,juc,Tungusic,Altaic
Katu,ktv,Katuic,Austro-Asiatic
Katu,kuf,Katuic,Austro-Asiatic
Kei,kei,Central Malayo-Polynesian,Austronesian
Mauritian Creole,mfe,Creoles and Pidgins,other
Mbalanhu,lnb,Bantoid,Niger-Congo
Micmac,mic,Algonquian,Algic
Montagnais,moe,Algonquian,Algic
Mulao,mlm,Kam-Tai,Tai-Kadai
Munsee,umu,Algonquian,Algic
Nelemwa,nee,Oceanic,Austronesian
Ntomba,nto,Bantoid,Niger-Congo
Nusu,nuf,Burmese-Lolo,Sino-Tibetan
Oirat,xal,Mongolic,Altaic
Otomí (Ixtenco),otz,Otomian,Oto-Manguean
Pangwa,pbr,Bantoid,Niger-Congo
Pomo (Northern),pej,Pomoan,Hokan
Quechua (Cuzco),quz,Quechuan,Quechuan
Rikbaktsa,rkb,Rikbaktsa,Macro-Ge
Roti,twu,Central Malayo-Polynesian,Austronesian
Southeast Ambrym,tvk,Oceanic,Austronesian
Sranan,srn,Creoles and Pidgins,other
Sungor,sjg,Taman,Eastern Sudanic
Tojolabal,toj,Mayan,Mayan
Uru,ure,Uru-Chipaya,Uru-Chipaya
Watam,wax,Lower Ramu,Lower Sepik-Ramu
Wyandot,wya,Northern Iroquoian,Iroquoian
Yavapai,yuf,Yuman,Hokan
Aghu,ahh,Awju-Dumut,Trans-New Guinea
Anyi,any,Kwa,Niger-Congo
Ayoreo,ayo,Zamucoan,Zamucoan
Baluchi,bgp,Iranian,Indo-European
Basari,bsc,Tenda,Niger-Congo
Berber (Chaouia),shy,Berber,Afro-Asiatic
Betoi,NA,Betoi,Betoi
Bhumij,unr,Munda,Austro-Asiatic
Bolia,bli,Bantoid,Niger-Congo
Bori,adi,Tani,Sino-Tibetan
Cashinahua,cbs,Panoan,Panoan
Chuukese,chk,Oceanic,Austronesian
Desano,des,Tucanoan,Tucanoan
Dharawal,tbh,Southeastern Pama-Nyungan,Pama-Nyungan
Dharumbal,bjy,Northern Pama-Nyungan,Pama-Nyungan
Ebira,igb,Nupoid,Niger-Congo
Godié,god,Kru,Niger-Congo
Johari,NA,Bodic,Sino-Tibetan
Kambot,kbx,Botin,Lower Sepik-Ramu
Kanembu,kbl,Western Saharan,Saharan
Kanum (Bädi),khd,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers
"Kati (in West Papua, Indonesia)",yon,Ok,Trans-New Guinea
Kazakh,kaz,Turkic,Altaic
Konyagi,cou,Tenda,Niger-Congo
Makonde,kde,Bantoid,Niger-Congo
Maringarr,zmt,Bringen,Western Daly
Mombum,mso,Mombum,Mombum
Moni,mnz,Wissel Lakes-Kemandoga,Trans-New Guinea
Mundani,mnf,Bantoid,Niger-Congo
Nauruan,nau,Oceanic,Austronesian
Sa'a,apb,Oceanic,Austronesian
Sengele,szg,Bantoid,Niger-Congo
Sila,dau,Daju,Eastern Sudanic
Talinga,tlj,Bantoid,Niger-Congo
Tupi,NA,Tupi-Guaraní,Tupian
Warrnambool,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Yao (in Malawi),yao,Bantoid,Niger-Congo
Yei,jei,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers
Yelmek,jel,Bulaka River,Bulaka River
Zoque (Ostuacan),zoc,Mixe-Zoque,Mixe-Zoque
Aguacatec,agu,Mayan,Mayan
Alsea,aes,Alsea,Oregon Coast
Ayomán,NA,Jirajaran,Jirajaran
Bugun,NA,Western Arunachal,Sino-Tibetan
Chichimeca-Jonaz,pei,Chichimec,Oto-Manguean
Cholón,cht,Cholon,Cholon
Cholón,clh,Cholon,Cholon
Crimean Tatar,crh,Turkic,Altaic
Edolo,etr,Bosavi,Bosavi
Esmeraldeño,NA,Tacame,Tacame
Hemba,hem,Bantoid,Niger-Congo
Holoholo,hoo,Bantoid,Niger-Congo
Jabutí,jbt,Jabutí,Macro-Ge
Jino,jiu,Burmese-Lolo,Sino-Tibetan
Jino,jiy,Burmese-Lolo,Sino-Tibetan
Jugli,nst,Northern Naga,Sino-Tibetan
Kaluli,bco,Bosavi,Bosavi
Karadjeri,gbd,Western Pama-Nyungan,Pama-Nyungan
Karankawa,zkk,Karankawa,Karankawa
Khinalug,kjj,Lezgic,Nakh-Daghestanian
Kire,geb,Mikarew,Lower Sepik-Ramu
Kui (in India),kxu,South-Central Dravidian,Dravidian
Lamba,lam,Bantoid,Niger-Congo
Mada (in Cameroon),mxu,Biu-Mandara,Afro-Asiatic
Magi,mgu,Mailuan,Trans-New Guinea
Mairasi,zrs,Mairasi-Tanahmerah,Trans-New Guinea
Maklew,mgf,Bulaka River,Bulaka River
Malto,kmj,Northern Dravidian,Dravidian
Mbole,mdq,Bantoid,Niger-Congo
Mojave,mov,Yuman,Hokan
Oksapmin,opm,Oksapmin,Oksapmin
Ono,ons,Finisterre-Huon,Trans-New Guinea
Ronga,rng,Bantoid,Niger-Congo
Runyoro-Rutooro,nyo,Bantoid,Niger-Congo
Spitian,bod,Bodic,Sino-Tibetan
Thompson,thp,Interior Salish,Salishan
Wagiman,waq,Wagiman,Wagiman
Yaqay,jaq,Marind,Anim
Zaparo,zro,Zaparoan,Zaparoan
Aja,aja,Kresh,Central Sudanic
Amara,aie,Oceanic,Austronesian
Arapesh (Abu),NA,Kombio-Arapesh,Torricelli
Bankon,abb,Bantoid,Niger-Congo
Bila,bip,Bantoid,Niger-Congo
Boazi,kvg,Marind,Anim
Buli (in Indonesia),bzq,South Halmahera - West New Guinea,Austronesian
Catawba,chc,Catawban,Siouan
Chontal (Highland),chd,Tequistlatecan,Tequistlatecan
Chuave,cjv,Chimbu,Trans-New Guinea
Chuj,cac,Mayan,Mayan
Chuj,cnm,Mayan,Mayan
Chumash (Ineseño),inz,Chumash,Chumash
Deuri,der,Bodo-Garo,Sino-Tibetan
Dhivehi,div,Indic,Indo-European
Faroese,fao,Germanic,Indo-European
Gworok,kcg,Platoid,Niger-Congo
Hani,hni,Burmese-Lolo,Sino-Tibetan
Hehe,heh,Bantoid,Niger-Congo
Huitoto (Muinane),hux,Huitoto,Huitotoan
Kabatei,xkp,Iranian,Indo-European
