Language,Count
English,975
French,61
Spanish,41
Hebrew,38
German,36
Italian,36
Mandarin,27
Dutch,26
Japanese,23
Cantonese,11
Polish,11
Korean,10
Tamil,10
Finnish,9
Russian,9
Swedish,7
Catalan,6
Greek,6
Hungarian,6
Turkish,6
Arabic,5
Norwegian,5
ASL,4
Thai,4
Estonian,3
K'iche,3
Irish,3
Portuguese,3
Serbo-Croatian,3
Min,3
BSL,2
Sesotho,2
Tagalog,2
Warlpiri,2
Afrikaans,1
Bulgarian,1
Chintang,1
Danish,1
Esperanto,1
Galician,1
Hindi,1
Huli,1
Icelandic,1
Inuktikut,1
Kaluli,1
Latvian,1
LIS,1
Lithuanian,1
LSQ,1
Maori,1
Mohawk,1
Navajo,1
Ngas,1
Romanian,1
Samoan,1
Setswana,1
Slovenian,1
Telegu,1
Trinidad,1
Ukrainian,1
Urdu,1
