Language,Count
English,299
Spanish,29
French,23
Hebrew,20
Dutch,16
Cantonese,1
Japanese,1
Danish,2
Korean,2
Norwegian,2
Catalan,3
Thai,3
Mongolian,3
German,4
Mandarin,7
NA,80
